date     rb2101    rb2201    rb2301
10-08    NaN    77.2    NaN
10-09    126.77    NaN    NaN
10-10    NaN    NaN    269.47
10-11    NaN    91.39    186.77
10-12    131.33    88.58    156.03
10-13    135.21    74.11    157.59
10-14    146.27    71.76    154.15
10-15    160.48    69.65    NaN
10-16    162.69    NaN    NaN
10-17    NaN    NaN    164.27
10-18    NaN    70.1    168.56
10-19    185.37    70.75    173.62
10-20    198.69    70.87    195.38
10-21    592.41    151.38    271.18
10-22    681.04    146.36    NaN
10-23    792.7    NaN    NaN
10-24    NaN    NaN    329.83
10-25    NaN    159.6    355.24
10-26    864.22    163.63    376.75
10-27    855.61    155.9    374.13
10-28    1368.19    162.02    409.94
10-29    1351.1    171.42    NaN
10-30    1849.96    NaN    NaN
10-31    NaN    NaN    539.7
11-01    NaN    184.51    537.74
11-02    1860.54    183.3    586.14
11-03    2170.31    221.04    632.27
11-04    2266.9    249.77    638.46
11-05    2222.73    235.36    NaN
11-06    2601.49    NaN    NaN
11-07    NaN    NaN    658.9
11-08    NaN    229.27    659.23
11-09    2567.39    229.14    721
11-10    2499.81    226.02    727.34
11-11    2474.03    211.15    707.63
11-12    2878.06    219.66    NaN
11-13    2865.2    NaN    NaN
11-14    NaN    NaN    912.29
11-15    NaN    229.28    900.97
11-16    2819.59    242.57    958.99
11-17    2944.24    229.61    904.33
11-18    2862.84    225.88    914.2
11-19    3656.95    600.8    NaN
11-20    8062.11    NaN    NaN
11-21    NaN    NaN    1757.15
11-22    NaN    617.5    1721.21
11-23    7173.67    584.59    1651.36
11-24    6919.37    580.83    1556.74
11-25    6514.38    537.67    1501.51
11-26    6080.01    489.83    NaN
11-27    6084.63    NaN    NaN
11-28    NaN    NaN    1479.11
11-29    NaN    469.44    1352.74
11-30    5283.67    435.62    1120.04
12-01    4962.68    422.51    1064.03
12-02    4734.99    378.98    921.78
12-03    4540.5    462.53    NaN
12-04    4161.41    NaN    NaN
12-05    NaN    NaN    764.4
12-06    NaN    423.78    722.47
12-07    3701.69    394.18    675.17
12-08    3078.25    350.99    631.18
12-09    2733.11    311.68    545
12-10    2225.69    289.27    NaN
12-11    1815.17    NaN    NaN
12-12    NaN    NaN    492.46
12-13    NaN    267.88    470.21
12-14    1709.82    254.52    450.31
12-15    1614.23    228.37    404.56
12-16    1521.31    201.27    366.92
12-17    1447.54    182.49    NaN
12-18    1246.25    NaN    NaN
12-19    NaN    NaN    323.08
12-20    NaN    406.14    417.02
12-21    1056.46    1118.63    NaN
12-22    176.85    1003.55    NaN
12-23    68.78    910.42    NaN
12-24    39.99    814.2    NaN
12-25    34    NaN    NaN
12-27    NaN    653.27    NaN
12-28    25.33    569.57    NaN
12-29    17.07    45.89    NaN
12-30    10.66    22.36    NaN
12-31    7.51    8.83    NaN
01-04    6.06    6.57    NaN
01-05    5.06    5.55    NaN
01-06    3.75    4.21    NaN
01-07    2.78    3.07    NaN
01-08    2.45    NaN    NaN
01-10    NaN    1.81    4.36
01-11    1.51    1.12    2.5
01-12    0.88    0.83    2.01
01-13    0.72    0.83    1.25
01-14    0.63    0.82    NaN
