日期,期货,现货,基差率
2020-10-28,3668,3700,0.86
2020-10-29,3668,3700,0.86
2020-10-30,3702,3747,1.2
2020-11-02,3719,3784,1.72
2020-11-03,3708,3784,2.01
2020-11-04,3753,3790,0.98
2020-11-05,3748,3836,2.29
2020-11-06,3782,3836,1.41
2020-11-09,3859,3988,3.23
2020-11-10,3826,3988,4.06
2020-11-11,3843,3995,3.8
2020-11-12,3832,3995,4.08
2020-11-13,3840,4006,4.14
2020-11-16,3852,4075,5.47
2020-11-17,3919,4080,3.95
2020-11-18,3907,4091,4.5
2020-11-19,3940,4145,4.95
2020-11-20,3977,4147,4.1
2020-11-23,3911,4164,6.08
2020-11-24,3910,4158.5,5.98
2020-11-25,3865,4117.3,6.13
2020-11-26,3884,4117.3,5.67
2020-11-27,3924,4107,4.46
2020-11-30,3906,4076.1,4.17
2020-12-01,3892,4045.2,3.79
2020-12-02,3913,4045.2,3.27
2020-12-03,3866,4024.6,3.94
2020-12-04,3900,4004,2.6
2020-12-07,3980,4010,0.75
2020-12-08,3914,4010,2.39
2020-12-09,3989,4008,0.47
2020-12-10,4040,4051,0.27
2020-12-11,4033,4073,0.98
2020-12-14,3988,4090,2.49
2020-12-15,4073,4090,0.42
2020-12-16,4148,4090,-1.42
2020-12-17,4175,4148.2,-0.65
2020-12-18,4316,4240.9,-1.77
2020-12-21,4460,4477.8,0.4
2020-12-22,4368,4519,3.34
2020-12-23,4283,4426.3,3.24
2020-12-24,4291,4374.8,1.92
2020-12-25,4341,4333.6,-0.17
2020-12-28,4244,4333.6,2.07
2020-12-29,4234,4313,1.83
2020-12-30,4256,4302.7,1.09
2020-12-31,4388,4313,-1.74
2021-01-04,4383,4333.6,-1.14
2021-01-05,4397,4354.2,-0.98
2021-01-06,4377,4354.2,-0.52
2021-01-07,4455,4364.5,-2.07
2021-01-08,4487,4395.4,-2.08
2021-01-11,4348,4385.1,0.85
2021-01-12,4327,4342,0.35
2021-01-13,4293,4340,1.08
2021-01-14,4294,4310,0.37
2021-01-15,4360,4309,-1.18
2021-01-18,4392,4309,-1.93
2021-01-19,4288,4262,-0.61
2021-01-20,4310,4261,-1.15
2021-01-21,4369,4261,-2.53
2021-01-22,4294,4261,-0.77
2021-01-25,4321,4265,-1.31
2021-01-26,4303,4265,-0.89
2021-01-27,4385,4265,-2.81
2021-01-28,4275,4265,-0.23
2021-01-29,4267,4265,-0.05
2021-02-01,4221,4265,1.03
2021-02-02,4154,4265,2.6
2021-02-03,4175,4265,2.11
2021-02-04,4246,4265,0.45
2021-02-05,4285,4261,-0.56
2021-02-08,4335,4261,-1.74
2021-02-09,4420,4261,-3.73
2021-02-10,4404,4261,-3.36
