
日期,基差
2020-09-17,82
2020-09-18,56
2020-09-21,103
2020-09-22,105
2020-09-23,81
2020-09-24,71
2020-09-25,99
2020-09-28,81
2020-09-29,71
2020-09-30,47
2020-10-09,43
2020-10-12,44
2020-10-13,53
2020-10-14,63
2020-10-15,70
2020-10-16,50
2020-10-19,94
2020-10-20,89
2020-10-21,49
2020-10-22,64
2020-10-23,94
2020-10-26,90
2020-10-27,88
2020-10-28,32
2020-10-29,32
2020-10-30,45
2020-11-02,65
2020-11-03,76
2020-11-04,37
2020-11-05,88
2020-11-06,54
2020-11-09,129
2020-11-10,162
2020-11-11,152
2020-11-12,163
2020-11-13,166
2020-11-16,223
2020-11-17,161
2020-11-18,184
2020-11-19,205
2020-11-20,170
2020-11-23,253
2020-11-24,248.5
2020-11-25,252.3
2020-11-26,233.3
2020-11-27,183
2020-11-30,170.1
2020-12-01,153.2
2020-12-02,132.2
2020-12-03,158.6
2020-12-04,104
2020-12-07,30
2020-12-08,96
2020-12-09,19
2020-12-10,11
2020-12-11,40
2020-12-14,102
2020-12-15,17
2020-12-16,-58
2020-12-17,-26.8
2020-12-18,-75.1
2020-12-21,17.8
2020-12-22,151
2020-12-23,143.3
2020-12-24,83.8
2020-12-25,-7.4
2020-12-28,89.6
2020-12-29,79
2020-12-30,46.7
2020-12-31,-75
2021-01-04,-49.4
2021-01-05,-42.8
2021-01-06,-22.8
2021-01-07,-90.5
2021-01-08,-91.6
2021-01-11,37.1
2021-01-12,15
2021-01-13,47
2021-01-14,16
2021-01-15,-51
2021-01-18,-83
2021-01-19,-26
2021-01-20,-49
2021-01-21,-108
2021-01-22,-33
2021-01-25,-56
2021-01-26,-38
2021-01-27,-120
2021-01-28,-10
2021-01-29,-2
2021-02-01,44
2021-02-02,111
2021-02-03,90
2021-02-04,19
2021-02-05,-24
2021-02-08,-74
2021-02-09,-159
2021-02-10,-143
2021-02-18,-268
2021-02-19,-103
2021-02-22,-40
2021-02-23,-10
2021-02-24,-79
2021-02-25,-147
2021-02-26,-121
2021-03-01,-64
2021-03-02,-157
2021-03-03,-130
2021-03-04,-155
2021-03-05,-75
2021-03-08,-70
2021-03-09,90
2021-03-10,4
2021-03-11,-103
2021-03-12,-84
2021-03-15,-169
2021-03-16,-83
2021-03-17,56
2021-03-18,-145
2021-03-19,-132
2021-03-22,-70
2021-03-23,-22
2021-03-24,-175
2021-03-25,-154
2021-03-26,-241
2021-03-29,-209
2021-03-30,-202
2021-03-31,-176
2021-04-01,-233
2021-04-02,-251
